chunk_id,evidence_id,knowledge_node_id,module_id,title,content,difficulty_level,is_core,importance_score,source_ids,source_tier,aliases,tags,citation_text,content_hash,embedding_status
4b400c7e-2381-5a49-af38-a222398a6963,30aa7214-53ca-50c1-ba4d-3a8dc49a2e34,RAG-M01-N01,RAG-M01,RAG的定义、目标与边界：核心定义,"知识点：RAG的定义、目标与边界
主题：核心定义
RAG把检索器与生成模型组合起来：检索器从显式知识源中返回与任务相关的证据，生成模型再依据任务指令与证据组织输出。知识主要保存在可更新的外部存储中，而不是全部依赖模型参数记忆。
适用边界：不把RAG等同于模型微调；不承诺绝对零幻觉；知识库外问题应拒答或转人工",1,True,1.0,"[""SRC-RAG-LEWIS-2020""]",A,"[""检索增强生成"", ""Retrieval-Augmented Generation"", ""RAG基础""]","[""RAG-M01"", ""RAG-M01-N01"", ""RAG基础"", ""Retrieval-Augmented Generation"", ""核心定义"", ""检索增强生成""]",RAG基础与方案选择 / RAG的定义、目标与边界 / 核心定义,cfbd05b2-6aa0-531e-b40f-4820dd22d624,not_generated
e2b3cfad-fc5f-5b04-936b-554d78fa1bd4,c170ae95-9b55-5e85-9857-46a84b4e7711,RAG-M01-N01,RAG-M01,RAG的定义、目标与边界：主要工程价值,"知识点：RAG的定义、目标与边界
主题：主要工程价值
企业或课程知识发生变化时，可以更新文档、切片和索引，而不必为了每次事实变化重新训练大模型。证据项还能绑定文档、版本和片段编号，为审核、追责和回归测试提供基础。
适用边界：不把RAG等同于模型微调；不承诺绝对零幻觉；知识库外问题应拒答或转人工",1,True,1.0,"[""SRC-RAG-LEWIS-2020"", ""SRC-NIST-AI-RMF""]",A,"[""检索增强生成"", ""Retrieval-Augmented Generation"", ""RAG基础""]","[""RAG-M01"", ""RAG-M01-N01"", ""RAG基础"", ""Retrieval-Augmented Generation"", ""主要工程价值"", ""检索增强生成""]",RAG基础与方案选择 / RAG的定义、目标与边界 / 主要工程价值,f7383716-6e04-545a-8249-f563fb2d7391,not_generated
dd3d90e4-259d-5727-9ec1-629521d28635,6651205b-2e94-5f91-a6db-34d0af08c3e0,RAG-M01-N01,RAG-M01,RAG的定义、目标与边界：不等于事实保证,"知识点：RAG的定义、目标与边界
主题：不等于事实保证
检索到正确证据并不意味着最终输出一定正确。系统仍可能出现漏检、误检、证据冲突、上下文截断、指令误解和无依据扩写，因此必须分别评测检索质量与生成忠实度，并设置拒答和审核机制。
适用边界：不把RAG等同于模型微调；不承诺绝对零幻觉；知识库外问题应拒答或转人工",1,True,1.0,"[""SRC-RAGAS-2023"", ""SRC-NIST-AI-RMF""]",A,"[""检索增强生成"", ""Retrieval-Augmented Generation"", ""RAG基础""]","[""RAG-M01"", ""RAG-M01-N01"", ""RAG基础"", ""Retrieval-Augmented Generation"", ""不等于事实保证"", ""检索增强生成""]",RAG基础与方案选择 / RAG的定义、目标与边界 / 不等于事实保证,89110581-c004-5385-91cf-415cb248c388,not_generated
905bcd9d-8eb9-5b60-8390-040dd2611ff3,f27b31af-a9cf-5abc-bd1b-a61c4a459ff3,RAG-M01-N01,RAG-M01,RAG的定义、目标与边界：本项目中的角色,"知识点：RAG的定义、目标与边界
主题：本项目中的角色
在个性化培训系统中，知识库提供专业事实和实操规范；诊断结果决定检索目标；资源生成智能体据此生成讲义、案例或练习；审核智能体检查每个关键结论是否被证据支持。
适用边界：不把RAG等同于模型微调；不承诺绝对零幻觉；知识库外问题应拒答或转人工",1,True,1.0,"[""SRC-COMPETITION-XH-202630""]",A,"[""检索增强生成"", ""Retrieval-Augmented Generation"", ""RAG基础""]","[""RAG-M01"", ""RAG-M01-N01"", ""RAG基础"", ""Retrieval-Augmented Generation"", ""本项目中的角色"", ""检索增强生成""]",RAG基础与方案选择 / RAG的定义、目标与边界 / 本项目中的角色,fdd1c6e9-650a-5061-8c54-7739c08939ff,not_generated
548555a1-edcb-540c-9f2b-517b34f69f2f,e03a7e60-d324-5f5e-834f-7381739e0810,RAG-M01-N02,RAG-M01,RAG端到端流水线与责任分层：离线知识构建,"知识点：RAG端到端流水线与责任分层
主题：离线知识构建
离线阶段负责资料登记、解析、清洗、切片、元数据补全、嵌入或关键词索引、图关系构建、质量评测和版本发布。只有通过门禁的知识库版本才允许被在线工作流使用。
适用边界：在线流程不得使用未发布知识版本；关键状态必须可回放；每个环节必须有失败和降级路径",1,True,1.0,"[""SRC-NIST-AI-RMF"", ""SRC-LLAMAINDEX-HIERARCHY""]",A,"[""RAG pipeline"", ""检索生成流程"", ""RAG系统链路""]","[""RAG pipeline"", ""RAG-M01"", ""RAG-M01-N02"", ""RAG系统链路"", ""检索生成流程"", ""离线知识构建""]",RAG基础与方案选择 / RAG端到端流水线与责任分层 / 离线知识构建,799ddb24-958d-5e6e-888e-07ea13ae1089,not_generated
242186c8-f390-5935-bed9-0fa17094a7f8,01c56b02-c15f-576b-9b9d-68c47d67916b,RAG-M01-N02,RAG-M01,RAG端到端流水线与责任分层：在线查询链路,"知识点：RAG端到端流水线与责任分层
主题：在线查询链路
在线阶段通常包括意图识别、查询改写、权限与元数据过滤、候选召回、融合或重排、上下文压缩、受约束生成、引用绑定和结果审核。复杂场景还会加入多步检索和工具调用。
适用边界：在线流程不得使用未发布知识版本；关键状态必须可回放；每个环节必须有失败和降级路径",1,True,1.0,"[""SRC-OPENSEARCH-HYBRID"", ""SRC-RAGAS-2023""]",B,"[""RAG pipeline"", ""检索生成流程"", ""RAG系统链路""]","[""RAG pipeline"", ""RAG-M01"", ""RAG-M01-N02"", ""RAG系统链路"", ""在线查询链路"", ""检索生成流程""]",RAG基础与方案选择 / RAG端到端流水线与责任分层 / 在线查询链路,9f9c8f25-87ce-5f5a-b49f-f735238f902d,not_generated
08a15c40-43f6-592a-9412-9e76eaf2b074,4f80f1b6-c99f-5f35-8eac-065eadf712ad,RAG-M01-N02,RAG-M01,RAG端到端流水线与责任分层：阶段责任隔离,"知识点：RAG端到端流水线与责任分层
主题：阶段责任隔离
检索器负责找到尽可能相关的证据，生成器负责在证据范围内完成任务，审核器负责验证事实、引用、难度和格式。把三者混成一个不可观测调用，会导致问题发生后无法定位根因。
适用边界：在线流程不得使用未发布知识版本；关键状态必须可回放；每个环节必须有失败和降级路径",1,True,1.0,"[""SRC-RAGAS-2023"", ""SRC-COMPETITION-XH-202630""]",A,"[""RAG pipeline"", ""检索生成流程"", ""RAG系统链路""]","[""RAG pipeline"", ""RAG-M01"", ""RAG-M01-N02"", ""RAG系统链路"", ""检索生成流程"", ""阶段责任隔离""]",RAG基础与方案选择 / RAG端到端流水线与责任分层 / 阶段责任隔离,c6a38021-dd5f-53cf-8a2e-15fefc423e6e,not_generated
bf90160b-8b40-5349-8d12-f3df4d5a4521,0cbdabc0-1c7f-5315-b264-d7240cc87b5d,RAG-M01-N02,RAG-M01,RAG端到端流水线与责任分层：可观测与回放,"知识点：RAG端到端流水线与责任分层
主题：可观测与回放
每次运行应记录知识库版本、查询、过滤条件、命中片段、排名、模型和提示词版本、最终引用、审核结论及耗时。这样才能重放失败案例、比较版本并证明指标来自真实运行。
适用边界：在线流程不得使用未发布知识版本；关键状态必须可回放；每个环节必须有失败和降级路径",1,True,1.0,"[""SRC-NIST-AI-RMF""]",A,"[""RAG pipeline"", ""检索生成流程"", ""RAG系统链路""]","[""RAG pipeline"", ""RAG-M01"", ""RAG-M01-N02"", ""RAG系统链路"", ""可观测与回放"", ""检索生成流程""]",RAG基础与方案选择 / RAG端到端流水线与责任分层 / 可观测与回放,841795f1-8619-58cb-9858-d2e2459b7ae8,not_generated
ef953a32-872c-596e-86d4-3bb0dfbcb644,f2b2fa8a-fee3-586e-bbc3-98b5ecb5f1af,RAG-M01-N03,RAG-M01,RAG、微调、长上下文与工具调用的选择：RAG适用条件,"知识点：RAG、微调、长上下文与工具调用的选择
主题：RAG适用条件
当知识频繁更新、来源必须可追溯、不同租户拥有不同资料或需要权限过滤时，RAG通常优于把事实写入模型参数。知识版本可以独立发布和回滚。
适用边界：方案选择必须记录业务前提；实时数据优先使用工具查询；高频更新事实不得只依赖微调记忆",2,True,0.95,"[""SRC-RAG-LEWIS-2020""]",A,"[""RAG与微调"", ""RAG vs Fine-tuning"", ""长上下文方案选择""]","[""RAG vs Fine-tuning"", ""RAG-M01"", ""RAG-M01-N03"", ""RAG与微调"", ""RAG适用条件"", ""长上下文方案选择""]",RAG基础与方案选择 / RAG、微调、长上下文与工具调用的选择 / RAG适用条件,2ead2f38-3adf-53dc-8635-305b4fb5813a,not_generated
01eb77ce-08e4-5b32-9fa3-87a57c9daa74,3bbdce74-b29f-52ac-8394-06056f2e85f0,RAG-M01-N03,RAG-M01,RAG、微调、长上下文与工具调用的选择：微调的主要位置,"知识点：RAG、微调、长上下文与工具调用的选择
主题：微调的主要位置
监督微调或参数高效微调更适合稳定输出格式、领域表达习惯、分类判定和工具选择模式。它不能天然提供文档级引用，也不适合作为高频变化事实的唯一存储。
适用边界：方案选择必须记录业务前提；实时数据优先使用工具查询；高频更新事实不得只依赖微调记忆",2,True,0.95,"[""SRC-RAG-LEWIS-2020""]",A,"[""RAG与微调"", ""RAG vs Fine-tuning"", ""长上下文方案选择""]","[""RAG vs Fine-tuning"", ""RAG-M01"", ""RAG-M01-N03"", ""RAG与微调"", ""微调的主要位置"", ""长上下文方案选择""]",RAG基础与方案选择 / RAG、微调、长上下文与工具调用的选择 / 微调的主要位置,311c8346-9a35-580d-ba26-afacd5e2935f,not_generated
